City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,faya-largeau,17.9257,19.1043,95.36,14.0,1008.0,50.0,18.5,TD,1717290129.0
1,selfoss,63.9331,-20.9971,45.05,91.0,1010.0,31.0,16.42,IS,1717290195.0
2,port-aux-francais,-49.35,70.2167,34.81,72.0,980.0,18.0,47.47,TF,1717290027.0
3,puerto natales,-51.7236,-72.4875,36.07,91.0,1020.0,100.0,2.19,CL,1717290030.0
4,edinburgh of the seven seas,-37.0676,-12.3116,57.6,90.0,1016.0,100.0,13.42,SH,1717290198.0
5,messaad,34.1543,3.5031,76.24,38.0,1011.0,91.0,1.32,DZ,1717290200.0
6,taroa,8.7058,171.2275,82.96,81.0,1011.0,44.0,16.24,MH,1717290201.0
7,willowmore,-33.2926,23.4895,51.46,96.0,1018.0,93.0,11.7,ZA,1717290202.0
8,pacific grove,36.6177,-121.9166,71.55,78.0,1015.0,20.0,11.5,US,1717289972.0
9,blackmans bay,-43.0167,147.3167,51.73,70.0,1026.0,9.0,3.53,AU,1717290186.0
10,hayma',,,,,,,,,
11,paciran,-6.8767,112.3761,81.97,79.0,1013.0,15.0,7.02,ID,1717290207.0
12,kapuskasing,49.4169,-82.4331,71.69,40.0,1012.0,100.0,12.66,CA,1717290115.0
13,waitangi,-43.9535,-176.5597,49.82,74.0,1015.0,100.0,10.0,NZ,1717290210.0
14,heihe,50.2441,127.4902,74.44,41.0,1008.0,11.0,7.78,CN,1717290211.0
15,ribeira grande,38.5167,-28.7,65.77,91.0,1016.0,63.0,10.0,PT,1717290212.0
16,berezovyy,51.6667,135.7,43.86,90.0,1016.0,100.0,6.08,RU,1717290193.0
17,niafunke,15.9322,-3.9906,98.65,23.0,1008.0,100.0,6.62,ML,1717290215.0
18,passo fundo,-28.2628,-52.4067,52.97,85.0,1021.0,64.0,7.31,BR,1717290166.0
19,bardai,11.65,7.2333,80.02,64.0,1012.0,5.0,7.47,NG,1717289945.0
20,port mathurin,-19.6833,63.4167,76.08,73.0,1017.0,100.0,19.28,MU,1717290219.0
21,tranovaho,,,,,,,,,
22,dadonghai,,,,,,,,,
23,punta arenas,-53.15,-70.9167,30.31,93.0,1018.0,0.0,5.75,CL,1717290181.0
24,turbat,26.0023,63.044,86.99,8.0,1002.0,5.0,2.55,PK,1717290224.0
25,aasiaat,68.7098,-52.8699,29.1,77.0,1017.0,100.0,7.23,GL,1717290188.0
26,olonkinbyen,70.9221,-8.7187,33.75,86.0,1006.0,99.0,9.86,SJ,1717290195.0
27,klyuchi,52.2667,79.1667,51.21,57.0,1017.0,100.0,7.76,RU,1717290228.0
28,kidal,18.4411,1.4078,92.64,13.0,1008.0,0.0,3.49,ML,1717290229.0
29,devinuwara,,,,,,,,,
30,fale old settlement,-9.3852,-171.2468,84.33,71.0,1010.0,100.0,7.94,TK,1717290190.0
31,aleksandrovskoye,44.7142,43.0008,60.1,87.0,1020.0,97.0,9.24,RU,1717290233.0
32,adamstown,-25.066,-130.1015,70.75,77.0,1013.0,88.0,14.67,PN,1717290234.0
33,polyarnyy,69.1989,33.4478,41.49,94.0,1018.0,95.0,9.1,RU,1717289950.0
34,puerto ayora,-0.7393,-90.3518,70.56,97.0,1009.0,98.0,1.01,EC,1717290237.0
35,kone,-21.0595,164.8658,82.87,52.0,1016.0,10.0,12.53,NC,1717290191.0
36,labrador city,52.9463,-66.9114,62.51,48.0,1016.0,75.0,5.75,CA,1717290000.0
37,vadso,70.0744,29.7487,43.68,93.0,1018.0,100.0,3.44,NO,1717290188.0
38,bethel,41.3712,-73.414,71.47,62.0,1016.0,100.0,1.86,US,1717290002.0
39,luderitz,-26.6481,15.1594,49.17,77.0,1018.0,4.0,3.6,,1717290243.0
40,malango,-2.9627,119.9001,76.17,85.0,1014.0,100.0,2.24,ID,1717290244.0
41,invercargill,-46.4,168.35,51.03,77.0,1025.0,0.0,8.01,NZ,1717290188.0
42,eyl,7.9803,49.8164,81.34,69.0,1008.0,0.0,19.57,SO,1717289674.0
43,alofi,-19.0595,-169.9187,76.89,69.0,1016.0,75.0,16.11,NU,1717290248.0
44,grytviken,-54.2811,-36.5092,24.46,82.0,1002.0,11.0,9.17,GS,1717290187.0
45,stanley,54.868,-1.6985,44.78,95.0,1028.0,0.0,3.44,GB,1717290251.0
46,ust-nera,64.5667,143.2,54.55,32.0,1023.0,100.0,2.55,RU,1717290252.0
47,puerto san carlos,,,,,,,,,
48,iquitos,-3.7481,-73.2472,71.64,83.0,1014.0,100.0,1.14,PE,1717290255.0
49,yellowknife,62.456,-114.3525,50.52,50.0,1010.0,100.0,12.66,CA,1717290085.0
